bairro|rua|tipo|area_m2|quartos|suites|vagas|padrao|acab|comercial|preco|data|fonte|titulo
Espirito Santo|Av Laura Nunes|apartamento|119|3|2|2|alto|pronto|nao|420000|06/2026|OLX|Apt Av Laura Nunes 119m2
Espirito Santo||casa|54|2|1|2|medio|pronto|nao|290000|06/2026|OLX|Casa 54m2 Espirito Santo
Espirito Santo||casa|49|2|2|1|medio|pronto|nao|250000|05/2026|OLX|Casa cond fechado 49m2
Espirito Santo|Cond Jardim Barcelona|casa|90|3|2|1|alto|pronto|nao|570000|03/2026|OLX|Casa Jardim Barcelona 90m2
Espirito Santo|Urbis VI|casa|80|3|1|1|simples|pronto|nao|165000|03/2026|OLX|Casa Morada Real II 80m2
Espirito Santo|Cond Verana Reserva Imperial|casa|181|3|4|4|alto|pronto|nao|950000|03/2026|OLX|Casa Verana Reserva 181m2
Espirito Santo||casa|182|3|2|4|alto|pronto|nao|949900|03/2026|OLX|Casa Exclusiva 182m2
Espirito Santo||casa|58|2|2|2|medio|pronto|nao|360000|02/2026|OLX|Casa Cond Servilha 58m2
Espirito Santo|Cond Verana Reserva Imperial|casa|180|3|2|1|alto|pronto|nao|980000|02/2026|OLX|Casa Verana 180m2 3 suites
Espirito Santo|Cond Verana Reserva Imperial|casa|160|3|4|1|alto|pronto|nao|850000|02/2026|OLX|Casa Verana 160m2
Espirito Santo||casa|160|3|3|2|alto|pronto|nao|530000|01/2026|OLX|Casa 3/4 perto Sevilha 160m2
Espirito Santo|Urbis VI|casa|75|3|4|2|simples|pronto|nao|275000|12/2025|OLX|Casa Urbis 6 75m2
Espirito Santo||casa|75|3|2|2|alto|pronto|nao|460000|08/2025|OLX|Casa cond fechado 75m2
Espirito Santo|Cond Esplanada do Parque|casa|135|3|2|3|alto|pronto|nao|790000|07/2025|OLX|Casa Esplanada do Parque 135m2
Espirito Santo||casa|180|5|3|3|alto|pronto|nao|649000|07/2025|OLX|Casa Duplex 5/4 180m2
Espirito Santo||casa|60|3|1|2|medio|pronto|nao|340000|03/2026|OLX|Casa 60m2 3 quartos
Espirito Santo||casa|118|3|1|3|alto|pronto|nao|500000|03/2026|OLX|Duplex 118m2
Espirito Santo||casa|186|3|3|2|alto|pronto|sim|578000|03/2026|OLX|Casa com ponto comercial 186m2
Espirito Santo||casa|69|2|1|2|simples|pronto|nao|220000|03/2026|OLX|Casa 69m2 2 quartos
Espirito Santo||casa|147|3|2|4|alto|pronto|nao|890000|03/2026|OLX|Casa 147m2 3 quartos
Espirito Santo||casa|56|1|4|1|simples|pronto|nao|180000|06/2026|OLX|Casa Espirito Santo 56m2
Espirito Santo|Urbis VI|casa|136|3|2|2|simples|pronto|nao|220000|06/2026|OLX|Casa Urbis VI 136m2
