"id","ordem","status","canal","tipo_make","tipo_original","titulo","legenda","media_url","media_urls_json","media_urls_pipe","publish_at","timezone","slug","fonte_url","fonte_nome","post_id","erro","tentativas","aprovado_por","publicado_em"
"pv-ig-20260703-01","1","PENDENTE_REVISAO","instagram","foto","post_imovel_card","Casa Caminho do Parque","Casa Caminho do Parque

Área gourmet, piscina aquecida e 3 suítes.

Valor: R$ 2.600.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos","https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/01-casa-a-venda-caminho-do-parque-caminho-do-parque-bela-vista.jpg","[""https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/01-casa-a-venda-caminho-do-parque-caminho-do-parque-bela-vista.jpg""]","https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/01-casa-a-venda-caminho-do-parque-caminho-do-parque-bela-vista.jpg","2026-07-03T12:30-03:00","America/Bahia","casa-a-venda-caminho-do-parque-caminho-do-parque-bela-vista","","","","","0","",""
"pv-ig-20260703-02","2","PENDENTE_REVISAO","instagram","foto","post_imovel_card","Casa Parque dos Ipes I","Casa Parque dos Ipes I

Casa térrea com tecnologia, energia solar e automação.

Valor: R$ 2.000.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos","https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/02-casa-terrea-a-venda-parque-dos-ipes-i-boa-vista.jpg","[""https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/02-casa-terrea-a-venda-parque-dos-ipes-i-boa-vista.jpg""]","https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/02-casa-terrea-a-venda-parque-dos-ipes-i-boa-vista.jpg","2026-07-03T19:30-03:00","America/Bahia","casa-terrea-a-venda-parque-dos-ipes-i-boa-vista","","","","","0","",""
"pv-ig-20260703-03","3","PENDENTE_REVISAO","instagram","foto","post_imovel_card","Casa Duplex Boa Vista","Casa Duplex Boa Vista

500 m2, lazer completo, energia solar e poco artesiano.

Valor: R$ 1.500.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos","https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/03-casa-duplex-a-venda-boa-vista.jpg","[""https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/03-casa-duplex-a-venda-boa-vista.jpg""]","https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/03-casa-duplex-a-venda-boa-vista.jpg","2026-07-04T12:30-03:00","America/Bahia","casa-duplex-a-venda-boa-vista","","","","","0","",""
"pv-ig-20260703-04","4","PENDENTE_REVISAO","instagram","foto","post_imovel_card","Casa Alphaville I","Casa Alphaville I

Casa térrea de esquina com 4 suítes no Alphaville I.

Valor: R$ 1.420.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos","https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/04-casa-terrea-a-venda-alphaville-i-primavera.jpg","[""https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/04-casa-terrea-a-venda-alphaville-i-primavera.jpg""]","https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/04-casa-terrea-a-venda-alphaville-i-primavera.jpg","2026-07-04T19:30-03:00","America/Bahia","casa-terrea-a-venda-alphaville-i-primavera","","","","","0","",""
"pv-ig-20260703-05","5","PENDENTE_REVISAO","instagram","foto","post_imovel_card","Apartamento Mansao Joaquim Gusmao Sales","Apartamento Mansao Joaquim Gusmao Sales

172 m², 3 suítes, 3 vagas e lazer privativo.

Valor: R$ 1.600.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos","https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/05-apartamento-a-venda-bairro-candeias-candeias.jpg","[""https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/05-apartamento-a-venda-bairro-candeias-candeias.jpg""]","https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/05-apartamento-a-venda-bairro-candeias-candeias.jpg","2026-07-05T12:30-03:00","America/Bahia","apartamento-a-venda-bairro-candeias-candeias","","","","","0","",""
"pv-ig-20260703-06","6","PENDENTE_REVISAO","instagram","foto","post_imovel_card","Apartamento Mansao Leonardo da Vinci","Apartamento Mansao Leonardo da Vinci

190 m², 4 suítes, 4 vagas e vista em Candeias.

Valor: R$ 1.300.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos","https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/06-apartamento-a-venda-candeias.jpg","[""https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/06-apartamento-a-venda-candeias.jpg""]","https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/06-apartamento-a-venda-candeias.jpg","2026-07-05T19:30-03:00","America/Bahia","apartamento-a-venda-candeias","","","","","0","",""
"pv-ig-20260703-07","7","PENDENTE_REVISAO","instagram","foto","post_imovel_card","Casa Horto Premier","Casa Horto Premier

Casa térrea com 3 suítes em condomínio.

Valor: R$ 950.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos","https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/07-casa-terrea-a-venda-horto-premier-primavera.jpg","[""https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/07-casa-terrea-a-venda-horto-premier-primavera.jpg""]","https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/07-casa-terrea-a-venda-horto-premier-primavera.jpg","2026-07-06T12:30-03:00","America/Bahia","casa-terrea-a-venda-horto-premier-primavera","","","","","0","",""
"pv-ig-20260703-08","8","PENDENTE_REVISAO","instagram","foto","post_imovel_card","Apartamento Maison du Soleil","Apartamento Maison du Soleil

105 m2, 3 quartos, 2 vagas e praticidade em Candeias.

Valor: R$ 500.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos","https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/08-apartamento-a-venda-bairro-candeias-candeias-2.jpg","[""https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/08-apartamento-a-venda-bairro-candeias-candeias-2.jpg""]","https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/08-apartamento-a-venda-bairro-candeias-candeias-2.jpg","2026-07-06T19:30-03:00","America/Bahia","apartamento-a-venda-bairro-candeias-candeias-2","","","","","0","",""
"pv-ig-20260703-09","9","PENDENTE_REVISAO","instagram","foto","post_imovel_card","Terreno Av. Brasil","Terreno Av. Brasil

396 m2 em localizacao estrategica na Av. Brasil.

Valor: R$ 430.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos","https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/09-terreno-a-venda-av-brasil-candeias.jpg","[""https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/09-terreno-a-venda-av-brasil-candeias.jpg""]","https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/09-terreno-a-venda-av-brasil-candeias.jpg","2026-07-07T12:30-03:00","America/Bahia","terreno-a-venda-av-brasil-candeias","","","","","0","",""
"pv-ig-20260703-10","10","PENDENTE_REVISAO","instagram","foto","post_imovel_card","Terreno de esquina Haras Camping Club","Terreno de esquina Haras Camping Club

1.000 m2 de esquina para construir com liberdade.

Valor: R$ 290.000

Fale com a Priscila para receber a ficha completa, fotos e disponibilidade atual.

Priscila Vasconcelos
CRECI-BA 29.231

#vitoriadaconquista #imoveisvdc #priscilavasconcelos","https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/10-terreno-de-esquina-a-venda-haras-camping-club-rodovia-conquista-ba-415-barra-do-choca.jpg","[""https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/10-terreno-de-esquina-a-venda-haras-camping-club-rodovia-conquista-ba-415-barra-do-choca.jpg""]","https://pvscelosimobiliaria.com/assets/marketing/instagram-2026-07-03/cards-imoveis/10-terreno-de-esquina-a-venda-haras-camping-club-rodovia-conquista-ba-415-barra-do-choca.jpg","2026-07-07T19:30-03:00","America/Bahia","terreno-de-esquina-a-venda-haras-camping-club-rodovia-conquista-ba-415-barra-do-choca","","","","","0","",""
